epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.229,1.98671,3.53555,2.33884,0.00254,1,0.28079,0.15686,1.46191,4.37075,2.262,0.00018577,0.00018577,0.00018577
2,131.345,1.5591,2.874,1.81819,0.00272,1,0.48585,0.29485,1.14441,3.9707,1.84536,0.000378191,0.000378191,0.000378191
3,193.235,1.32695,2.4564,1.65302,0.10402,0.91667,0.62821,0.34665,1.11919,3.55147,1.71569,0.000562689,0.000562689,0.000562689
4,248.238,1.4146,2.36655,1.76773,1,0.32979,0.72066,0.40861,1.3795,3.30347,2.14753,0.000739265,0.000739265,0.000739265
5,299.388,1.4867,2.19436,1.81892,0.69909,0.66667,0.60989,0.28497,1.64996,3.24797,2.36862,0.000907918,0.000907918,0.000907918
6,348.958,1.45494,2.04993,1.70064,0.80031,0.75,0.76702,0.42887,1.5788,2.78312,2.40835,0.00106865,0.00106865,0.00106865
7,398.278,1.38312,1.85536,1.63157,0.63845,0.91305,0.84123,0.43729,1.82707,3.1023,2.69136,0.00122146,0.00122146,0.00122146
8,460.645,1.43184,2.06582,1.7509,0.7115,0.80709,0.87,0.46272,1.45266,3.63888,2.16443,0.00123094,0.00123094,0.00123094
9,526.222,1.39525,1.8888,1.68225,0.77937,0.88137,0.96722,0.51301,1.51049,3.32062,2.30583,0.00120265,0.00120265,0.00120265
10,600.126,1.3737,1.91825,1.65907,0.93715,0.84,0.97833,0.58623,1.2949,2.74846,2.10145,0.00117435,0.00117435,0.00117435
11,675.637,1.35879,1.71485,1.65755,0.87941,0.77654,0.95333,0.59839,1.27188,2.91293,2.11745,0.00114606,0.00114606,0.00114606
12,765.184,1.36272,1.74861,1.63634,0.89938,0.66667,0.82754,0.45729,1.56795,2.57665,2.37494,0.00111776,0.00111776,0.00111776
13,844.305,1.44339,1.8442,1.69711,0.94607,0.58333,0.93151,0.56594,1.27039,2.55735,1.90623,0.00108947,0.00108947,0.00108947
14,930.923,1.50646,1.87638,1.67237,0.94087,0.86841,0.97833,0.55342,1.49202,2.30493,2.04903,0.00106118,0.00106118,0.00106118
15,1010.64,1.37688,1.64471,1.64085,0.98096,0.95585,0.995,0.65088,1.34629,2.27724,1.83794,0.00103288,0.00103288,0.00103288
16,1107.18,1.43244,1.5674,1.67602,0.98051,0.98926,0.995,0.61883,1.36561,2.27369,1.92424,0.00100459,0.00100459,0.00100459
17,1192.06,1.38454,1.50166,1.57397,0.78287,0.91667,0.93151,0.62453,1.0933,2.25358,1.70265,0.000976293,0.000976293,0.000976293
18,1273.15,1.29969,1.514,1.59661,0.83807,1,0.995,0.51782,1.61686,2.25728,2.20493,0.000947999,0.000947999,0.000947999
19,1376.19,1.39002,1.47974,1.58394,0.91045,0.96807,0.995,0.56938,1.40348,2.27313,2.08972,0.000919704,0.000919704,0.000919704
20,1602.32,1.38763,1.53743,1.6506,0.96825,0.91667,0.97833,0.57718,1.43815,2.06405,2.11077,0.00089141,0.00089141,0.00089141
21,1738.87,1.24277,1.39161,1.57971,0.87111,1,0.97833,0.62138,1.20089,1.86475,1.80489,0.000863116,0.000863116,0.000863116
22,1947.83,1.31105,1.36655,1.55015,0.92965,1,0.995,0.66713,1.20696,1.67798,1.79891,0.000834822,0.000834822,0.000834822
